Date|Status
2019-02-20|dead
2019-02-20|Not_dead
2019-02-19|dead
2019-02-19|Not_dead
2019-02-19|Not_dead
2019-02-19|Not_dead
2019-02-18|dead
2019-02-18|dead
2019-02-17|dead
2019-02-16|dead
2019-02-16|dead
2019-02-15|dead
2019-02-15|Not_dead
2019-02-14|dead
2019-02-14|Not_dead
2019-02-14|dead
2019-02-13|Not_dead
2019-02-13|Not_dead
2019-02-13|Not_dead
2019-02-13|dead
2019-02-13|Not_dead
2019-02-13|Not_dead
2019-02-12|dead
2019-02-12|dead
2019-02-12|dead
2019-02-12|dead
2019-02-11|dead
2019-02-10|dead
2019-02-10|Not_dead
2019-02-10|dead
2019-02-09|Not_dead
2019-02-07|dead
2019-02-07|Not_dead
2019-02-06|Not_dead
2019-02-06|dead
2019-02-05|dead
2019-02-05|dead
2019-02-05|dead
2019-02-04|Not_dead
2019-02-03|dead
2019-02-03|Not_dead
2019-02-03|dead
2019-02-02|Not_dead
2019-02-02|dead
2019-02-02|dead
2019-02-02|Not_dead
2019-02-02|Not_dead
2019-02-01|Not_dead
2019-02-01|dead
2019-02-01|dead
2019-01-31|dead
2019-01-31|Not_dead
2019-01-31|dead
2019-01-31|dead
2019-01-30|dead
2019-01-30|Not_dead
2019-01-30|dead
2019-01-29|dead
2019-01-28|dead
2019-01-27|dead
2019-01-25|dead
2019-01-25|dead
2019-01-25|dead
2019-01-25|dead
2019-01-24|dead
2019-01-24|dead
2019-01-23|Not_dead
2019-01-23|Not_dead
2019-01-23|Not_dead
2019-01-22|Not_dead
2019-01-22|dead
2019-01-21|dead
2019-01-21|Not_dead
2019-01-21|dead
2019-01-21|dead
2019-01-21|dead
2019-01-20|dead
2019-01-19|dead
2019-01-19|dead
2019-01-19|dead
2019-01-18|Not_dead
2019-01-18|dead
2019-01-18|dead
2019-01-17|dead
2019-01-16|Not_dead
2019-01-16|dead
2019-01-16|Not_dead
2019-01-15|Not_dead
2019-01-15|dead
2019-01-15|Not_dead
2019-01-14|dead
2019-01-14|dead
2019-01-14|Not_dead
2019-01-14|dead
2019-01-14|Not_dead
2019-01-13|Not_dead
2019-01-13|Not_dead
2019-01-13|dead
2019-01-12|Not_dead
2019-01-10|Not_dead
2019-01-10|Not_dead
2019-01-10|dead
2019-01-10|dead
2019-01-09|dead
2019-01-09|dead
2019-01-08|dead
2019-01-07|dead
2019-01-06|dead
2019-01-06|dead
2019-01-04|dead
2019-01-04|dead
2019-01-03|dead
2019-01-02|Not_dead
2019-01-02|Not_dead
2019-01-01|dead
2019-01-01|dead
